date,price
2019-09-06,656.0
2019-09-07,656.0
2019-09-08,656.0
2019-09-09,656.0
2019-09-10,656.0
2019-09-11,670.0
2019-09-12,670.0
2019-09-13,670.0
2019-09-14,677.0
2019-09-15,677.0
2019-09-16,677.0
2019-09-17,677.0
2019-09-18,677.0
2019-09-19,677.0
2019-09-20,656.0
2019-09-21,663.0
2019-09-22,663.0
2019-09-23,663.0
2019-09-24,663.0
2019-09-25,663.0
2019-09-26,663.0
2019-09-27,630.0
2019-09-28,630.0
2019-09-29,630.0
2019-09-30,610.0
2019-10-01,649.0
2019-10-02,610.0
2019-10-03,610.0
2019-10-04,610.0
2019-10-05,610.0
2019-10-06,617.0
2019-10-07,617.0
2019-10-08,617.0
2019-10-09,617.0
2019-10-10,617.0
2019-10-11,617.0
2019-10-12,617.0
2019-10-13,617.0
2019-10-14,617.0
2019-10-15,617.0
2019-10-16,649.0
2019-10-17,649.0
2019-10-18,649.0
2019-10-19,649.0
2019-10-20,640.0
2019-10-21,640.0
2019-10-22,639.0
2019-10-23,639.0
2019-10-24,639.0
2019-10-25,639.0
2019-10-26,639.0
2019-10-27,639.0
2019-10-28,639.0
2019-10-29,637.0
2019-10-30,637.0
2019-10-31,637.0
2019-11-01,650.0
2019-11-02,647.0
2019-11-03,650.0
2019-11-04,637.0
2019-11-05,647.0
2019-11-06,647.0
2019-11-07,647.0
2019-11-08,641.0
2019-11-09,647.0
2019-11-10,647.0
2019-11-11,641.0
2019-11-12,641.0
2019-11-13,641.0
2019-11-14,641.0
2019-11-15,641.0
2019-11-16,641.0
2019-11-17,641.0
2019-11-18,641.0
2019-11-19,641.0
2019-11-20,639.0
2019-11-21,639.0
2019-11-22,639.0
2019-11-23,639.0
2019-11-25,581.0
2019-11-26,581.0
2019-11-27,580.0
2019-11-28,581.0
2019-11-29,581.0
2019-11-30,581.0
2019-12-01,581.0
2019-12-02,581.0
2019-12-03,587.0
2019-12-04,587.0
2019-12-05,587.0
2019-12-06,585.0
2019-12-07,591.0
2019-12-08,591.0
2019-12-09,585.0
2019-12-10,555.0
2019-12-11,555.0
2019-12-12,555.0
2019-12-13,555.0
2019-12-14,555.0
2019-12-15,555.0
2019-12-16,555.0
2019-12-17,555.0
2019-12-18,555.0
2019-12-19,555.0
2019-12-20,555.0
2019-12-21,555.0
2019-12-22,555.0
2019-12-23,555.0
2019-12-24,555.0
2019-12-25,555.0
2019-12-26,555.0
2019-12-27,555.0
2019-12-28,555.0
2019-12-29,555.0
2019-12-30,555.0
2019-12-31,555.0
2020-01-01,555.0
2020-01-02,555.0
2020-01-03,573.0
2020-01-04,573.0
2020-01-05,573.0
2020-01-06,579.0
2020-01-07,585.0
2020-01-08,591.0
2020-01-09,591.0
2020-01-10,591.0
2020-01-11,555.0
2020-01-12,561.0
2020-01-13,561.0
2020-01-14,567.0
