date,price
2019-09-06,519.0
2019-09-07,519.0
2019-09-08,519.0
2019-09-09,519.0
2019-09-10,519.0
2019-09-11,519.0
2019-09-12,519.0
2019-09-13,519.0
2019-09-14,519.0
2019-09-15,519.0
2019-09-16,519.0
2019-09-17,519.0
2019-09-18,519.0
2019-09-19,519.0
2019-09-20,519.0
2019-09-21,519.0
2019-09-22,519.0
2019-09-23,519.0
2019-09-24,519.0
2019-09-25,519.0
2019-09-26,519.0
2019-09-27,519.0
2019-09-28,519.0
2019-09-29,519.0
2019-09-30,519.0
2019-10-01,519.0
2019-10-02,519.0
2019-10-03,519.0
2019-10-04,519.0
2019-10-05,519.0
2019-10-06,519.0
2019-10-07,519.0
2019-10-08,519.0
2019-10-09,519.0
2019-10-10,519.0
2019-10-11,519.0
2019-10-12,519.0
2019-10-13,519.0
2019-10-14,519.0
2019-10-15,519.0
2019-10-16,504.0
2019-10-17,504.0
2019-10-18,504.0
2019-10-19,504.0
2019-10-20,504.0
2019-10-21,504.0
2019-10-22,510.0
2019-10-23,510.0
2019-10-24,510.0
2019-10-25,510.0
2019-10-26,513.0
2019-10-27,510.0
2019-10-28,510.0
2019-10-29,510.0
2019-10-30,510.0
2019-10-31,523.0
2019-11-01,504.0
2019-11-02,504.0
2019-11-03,504.0
