date,price
2019-09-06,407.0
2019-09-07,407.0
2019-09-08,407.0
2019-09-09,407.0
2019-09-10,407.0
2019-09-11,391.0
2019-09-12,391.0
2019-09-13,391.0
2019-09-14,407.0
2019-09-15,407.0
2019-09-16,407.0
2019-09-17,416.0
2019-09-18,416.0
2019-09-19,416.0
2019-09-20,400.0
2019-09-21,400.0
2019-09-22,400.0
2019-09-23,400.0
2019-09-24,400.0
2019-09-25,400.0
2019-09-26,400.0
2019-09-27,360.0
2019-09-28,360.0
2019-09-29,360.0
2019-09-30,429.0
2019-10-01,429.0
2019-10-02,429.0
2019-10-03,429.0
2019-10-04,429.0
2019-10-05,429.0
2019-10-06,400.0
2019-10-07,408.0
2019-10-08,400.0
2019-10-09,400.0
2019-10-10,400.0
2019-10-11,400.0
2019-10-12,400.0
2019-10-13,407.0
2019-10-14,407.0
2019-10-15,407.0
2019-10-16,407.0
