date,price
2019-09-06,344.0
2019-09-07,344.0
2019-09-08,344.0
2019-09-09,344.0
2019-09-10,344.0
2019-09-11,333.0
2021-04-11,262.0
2021-04-12,262.0
2021-04-13,262.0
2021-04-14,262.0
2021-04-15,262.0
2021-04-16,265.0
2021-04-17,265.0
2021-04-18,265.0
2021-04-19,265.0
2021-04-20,265.0
2021-04-21,265.0
2021-04-22,265.0
2021-04-23,268.0
2021-04-24,268.0
2021-04-25,268.0
2021-04-26,271.0
2021-04-27,277.0
2021-04-28,274.0
2021-04-29,277.0
2021-04-30,277.0
2021-05-01,277.0
2021-05-02,277.0
2021-05-03,277.0
2021-05-04,278.0
2021-05-05,278.0
2021-05-06,278.0
2021-05-07,278.0
2021-05-08,278.0
2021-05-09,278.0
2021-05-10,278.0
2021-05-11,278.0
2021-05-12,278.0
2021-05-14,278.0
2021-05-15,278.0
2021-05-16,278.0
2021-05-17,278.0
2021-05-18,278.0
2021-05-19,278.0
2021-05-20,278.0
2021-05-21,278.0
2021-05-22,278.0
2021-05-23,278.0
2021-05-24,278.0
2021-05-25,278.0
2021-05-26,278.0
2021-05-27,278.0
2021-05-28,278.0
2021-05-29,278.0
2021-05-30,278.0
2021-05-31,278.0
2021-06-01,280.0
2021-06-02,279.0
2021-06-03,279.0
2021-06-04,279.0
2021-06-05,279.0
2021-06-06,279.0
2021-06-07,279.0
2021-06-08,279.0
2021-06-09,279.0
2021-06-10,279.0
2021-06-11,279.0
2021-06-12,279.0
2021-06-13,279.0
2021-06-14,279.0
2021-06-15,279.0
2021-06-16,279.0
2021-06-17,279.0
2021-06-18,279.0
2021-06-19,279.0
2021-06-20,279.0
2021-06-21,279.0
2021-06-22,279.0
2021-06-23,279.0
2021-06-24,279.0
2021-06-25,279.0
2021-06-26,279.0
2021-06-27,279.0
2021-06-28,279.0
2021-06-29,279.0
2021-06-30,279.0
2021-07-01,279.0
2021-07-02,275.0
2021-07-03,249.0
2021-07-04,270.0
2021-07-05,259.0
2021-07-06,259.0
2021-07-07,259.0
2021-07-08,262.0
2021-07-09,262.0
2021-07-10,265.0
2021-07-11,265.0
2021-07-12,268.0
2021-07-13,268.0
2021-07-14,271.0
2021-07-15,271.0
2021-07-16,274.0
2021-07-17,274.0
2021-07-18,277.0
2021-07-19,277.0
2021-07-20,277.0
2021-07-21,279.0
2021-07-22,279.0
2021-07-23,279.0
2021-07-24,279.0
2021-07-25,279.0
2021-07-26,279.0
2021-07-27,279.0
2021-07-28,279.0
2021-07-29,279.0
2021-07-30,279.0
2021-07-31,279.0
2021-08-01,279.0
2021-08-02,279.0
2021-08-03,279.0
2021-08-04,279.0
2021-08-05,279.0
2021-08-06,279.0
2021-08-07,279.0
2021-08-08,279.0
2021-08-09,279.0
2021-08-10,279.0
2021-08-11,279.0
2021-08-12,279.0
2021-08-13,279.0
2021-08-14,279.0
2021-08-15,279.0
2021-08-16,279.0
2021-08-17,279.0
2021-08-18,279.0
2021-08-19,279.0
2021-08-20,279.0
2021-08-21,279.0
2021-08-22,279.0
2021-08-23,279.0
2021-08-24,279.0
2021-08-25,279.0
2021-08-26,279.0
2021-08-27,279.0
2021-08-28,279.0
2021-08-29,279.0
2021-08-30,279.0
2021-08-31,279.0
2021-09-01,279.0
2021-09-02,279.0
2021-09-03,279.0
2021-09-04,279.0
2021-09-05,279.0
2021-09-06,279.0
2021-09-07,279.0
2021-09-08,279.0
2021-09-09,279.0
2021-09-10,279.0
2021-09-11,279.0
2021-09-12,279.0
2021-09-13,279.0
2021-09-14,279.0
2021-09-15,279.0
2021-09-16,279.0
2021-09-17,279.0
2021-09-18,279.0
2021-09-19,279.0
2021-09-20,279.0
2021-09-21,279.0
2021-09-22,279.0
2021-09-23,279.0
2021-09-24,279.0
2021-09-25,279.0
2021-09-27,279.0
2021-09-28,279.0
2021-09-29,279.0
2021-09-30,279.0
2021-10-01,279.0
2021-10-02,279.0
2021-10-03,279.0
2021-10-04,279.0
2021-10-05,279.0
2021-10-06,279.0
2021-10-07,279.0
2021-10-08,279.0
2021-10-09,270.0
2021-10-10,279.0
2021-10-11,273.0
2021-10-12,279.0
2021-10-13,279.0
2021-10-14,279.0
2021-10-15,279.0
2021-10-16,279.0
2021-10-17,279.0
2021-10-18,279.0
2021-10-19,279.0
2021-10-20,279.0
2021-10-21,279.0
2021-10-22,279.0
2021-10-23,279.0
2021-10-24,279.0
2021-10-25,279.0
2021-10-26,279.0
2021-10-27,279.0
2021-10-28,279.0
2021-10-29,279.0
2021-10-30,279.0
2021-10-31,279.0
2021-11-01,279.0
2021-11-02,279.0
2021-11-03,279.0
2021-11-04,279.0
2021-11-05,279.0
2021-11-06,279.0
2021-11-07,279.0
2021-11-08,279.0
2021-11-10,279.0
2021-11-11,199.0
2021-11-12,279.0
2021-11-13,279.0
2021-11-14,279.0
2021-11-15,279.0
2021-11-16,279.0
2021-11-17,279.0
2021-11-18,279.0
2021-11-19,279.0
2021-11-20,279.0
2021-11-21,279.0
2021-11-22,279.0
2021-11-23,279.0
2021-11-24,279.0
2021-11-25,279.0
2021-11-26,279.0
2021-11-27,279.0
2021-11-28,279.0
2021-11-29,279.0
2021-11-30,279.0
2021-12-01,239.0
2021-12-02,239.0
2021-12-03,239.0
2021-12-04,239.0
2021-12-05,239.0
2021-12-06,239.0
2021-12-07,239.0
2021-12-08,249.0
2021-12-09,249.0
2021-12-10,249.0
2021-12-11,249.0
2021-12-12,249.0
2021-12-13,249.0
2021-12-14,249.0
2021-12-15,249.0
2021-12-16,249.0
2021-12-17,249.0
2021-12-18,249.0
2021-12-19,249.0
2021-12-20,249.0
2021-12-21,249.0
2021-12-22,249.0
2021-12-23,249.0
2021-12-24,249.0
2021-12-25,249.0
2021-12-26,249.0
2021-12-27,249.0
2021-12-28,249.0
2021-12-29,249.0
2021-12-30,249.0
2021-12-31,249.0
2022-01-01,232.0
2022-01-02,232.0
2022-01-03,232.0
2022-01-04,230.0
2022-01-05,231.0
2022-01-06,232.0
2022-01-07,234.0
2022-01-08,233.0
2022-01-09,235.0
2022-01-10,237.0
2022-01-11,242.0
2022-01-12,242.0
2022-01-13,242.0
2022-01-14,242.0
2022-01-15,241.0
2022-01-16,245.0
2022-01-17,248.0
2022-01-18,247.0
2022-01-19,250.0
2022-01-20,254.0
2022-01-21,254.0
2022-01-22,254.0
2022-01-23,257.0
2022-01-24,260.0
2022-01-25,263.0
2022-01-26,263.0
2022-01-27,266.0
2022-01-28,266.0
2022-01-29,269.0
2022-01-30,269.0
2022-01-31,270.0
2022-02-01,270.0
2022-02-02,270.0
2022-02-03,270.0
2022-02-04,270.0
2022-02-05,270.0
2022-02-06,270.0
2022-02-07,256.51
2022-02-08,243.0
2022-02-09,243.0
2022-02-10,0.0
2022-02-11,0.0
2022-02-12,0.0
2022-02-13,0.0
2022-02-14,0.0
2022-02-15,0.0
2022-02-16,0.0
2022-02-17,256.51
2022-02-18,0.0
2022-02-19,0.0
2022-02-20,0.0
2022-02-21,0.0
2022-02-22,0.0
2022-02-23,0.0
2022-02-24,0.0
2022-02-25,0.0
2022-02-26,0.0
2022-02-27,0.0
2022-02-28,0.0
2022-03-01,0.0
2022-03-02,0.0
2022-03-03,0.0
2022-03-04,0.0
2022-03-05,0.0
2022-03-06,0.0
2022-03-07,0.0
2022-03-08,0.0
2022-03-09,0.0
2022-03-10,0.0
2022-03-11,0.0
2022-03-12,0.0
2022-03-13,0.0
2022-03-14,0.0
2022-03-15,0.0
2022-03-16,0.0
2022-03-17,0.0
2022-03-18,0.0
2022-03-19,229.51
2022-03-20,0.0
2022-03-21,0.0
2022-03-22,0.0
2022-03-23,0.0
2022-03-24,0.0
2022-03-25,0.0
2022-03-26,0.0
2022-03-27,0.0
2022-03-28,0.0
2022-03-29,0.0
2022-03-30,0.0
2022-03-31,0.0
2022-04-01,0.0
2022-04-02,0.0
2022-04-03,0.0
2022-04-04,0.0
2022-04-05,0.0
2022-04-06,0.0
2022-04-07,0.0
2022-04-08,0.0
2022-04-09,0.0
2022-04-10,0.0
2022-04-11,0.0
2022-04-12,0.0
2022-04-13,0.0
2022-04-14,0.0
2022-04-15,0.0
2022-04-16,0.0
2022-04-17,0.0
2022-04-18,0.0
2022-04-19,0.0
2022-04-20,0.0
2022-04-21,0.0
2022-04-22,0.0
2022-04-23,0.0
2022-04-24,0.0
2022-04-25,0.0
2022-04-26,0.0
2022-04-27,0.0
2022-04-28,0.0
2022-04-29,0.0
2022-04-30,0.0
2022-05-01,0.0
2022-05-02,0.0
2022-05-03,0.0
2022-05-04,0.0
2022-05-05,0.0
2022-05-06,0.0
2022-05-07,0.0
2022-05-08,0.0
2022-05-09,0.0
2022-05-10,0.0
2022-05-11,0.0
2022-05-12,0.0
2022-05-13,0.0
2022-05-14,0.0
2022-05-15,0.0
2022-05-16,0.0
2022-05-17,0.0
2022-05-18,0.0
2022-05-19,0.0
2022-05-20,0.0
2022-05-21,0.0
2022-05-22,0.0
2022-05-23,0.0
2022-05-24,0.0
2022-05-25,0.0
2022-05-26,0.0
2022-05-28,0.0
2022-05-29,0.0
2022-05-30,0.0
2022-05-31,0.0
2022-06-01,0.0
2022-06-02,0.0
2022-06-03,0.0
2022-06-04,0.0
2022-06-05,0.0
2022-06-06,0.0
2022-06-07,0.0
2022-06-08,0.0
2022-06-09,0.0
2022-06-10,0.0
2022-06-11,0.0
2022-06-12,0.0
2022-06-13,0.0
2022-06-14,0.0
2022-06-15,0.0
2022-06-16,189.0
2022-06-17,189.0
2022-06-18,189.0
2022-06-19,189.0
2022-06-20,189.0
2022-06-21,189.0
2022-06-22,0.0
2022-06-23,0.0
2022-06-24,0.0
2022-06-25,0.0
2022-06-26,0.0
2022-06-27,0.0
2022-06-28,0.0
2022-06-29,0.0
2022-06-30,0.0
2022-07-01,0.0
2022-07-02,0.0
2022-07-03,0.0
2022-07-04,0.0
2022-07-05,0.0
2022-07-06,0.0
2022-07-07,0.0
2022-07-08,0.0
2022-07-09,0.0
2022-07-10,0.0
2022-07-11,0.0
2022-07-12,0.0
2022-07-13,0.0
2022-07-14,0.0
2022-07-15,0.0
2022-07-16,0.0
