date,price
2019-09-06,479.0
2019-09-07,467.0
2019-09-08,467.0
2019-09-09,467.0
2019-09-10,467.0
2019-09-11,439.0
2019-09-12,439.0
2019-09-13,439.0
2019-09-14,439.0
2019-09-15,439.0
2019-09-16,439.0
2019-09-17,399.0
2019-09-18,399.0
2019-09-19,399.0
2019-09-20,399.0
2019-09-21,399.0
2019-09-22,399.0
2019-09-23,399.0
2019-09-24,399.0
2019-09-25,399.0
2019-09-26,399.0
2019-09-27,399.0
2019-09-28,399.0
2019-09-29,399.0
2019-09-30,399.0
2019-10-01,399.0
2019-10-02,399.0
2019-10-03,399.0
2019-10-04,399.0
2019-10-05,399.0
2019-10-06,399.0
2019-10-07,399.0
2019-10-08,399.0
2019-10-09,399.0
2019-10-10,399.0
2019-10-11,469.0
2019-10-12,469.0
2019-10-13,469.0
2019-10-14,359.0
2019-10-15,469.0
2019-10-16,359.0
2019-10-17,359.0
2019-10-18,359.0
2019-10-19,359.0
2019-10-20,359.0
2019-10-21,359.0
2019-10-22,359.0
2019-10-23,359.0
2019-10-24,359.0
2019-10-25,359.0
2019-10-26,359.0
2019-10-27,359.0
2019-10-28,359.0
2019-10-29,359.0
2019-10-30,359.0
2019-10-31,467.0
2019-11-01,467.0
2019-11-02,467.0
2019-11-03,467.0
2019-11-04,467.0
2019-11-05,467.0
2019-11-06,467.0
2019-11-07,467.0
2019-11-08,467.0
2019-11-09,467.0
2019-11-10,467.0
2019-11-11,467.0
2019-11-12,467.0
2019-11-13,467.0
2019-11-14,467.0
2019-11-15,467.0
2019-11-16,467.0
2019-11-17,467.0
2019-11-18,467.0
2019-11-19,467.0
2019-11-20,467.0
2019-11-21,467.0
2019-11-22,467.0
2019-11-23,467.0
2019-11-25,467.0
2019-11-26,469.0
2019-11-27,469.0
2019-11-28,469.0
2019-11-29,469.0
2019-11-30,469.0
2019-12-01,469.0
2019-12-02,469.0
2019-12-03,472.0
2019-12-04,472.0
2019-12-05,472.0
2019-12-06,472.0
2019-12-07,472.0
2019-12-08,472.0
2019-12-09,472.0
2019-12-10,473.0
2019-12-11,473.0
2019-12-12,473.0
2019-12-13,473.0
2019-12-14,473.0
2019-12-15,473.0
2019-12-16,473.0
2019-12-17,473.0
2019-12-18,473.0
2019-12-19,473.0
2019-12-20,474.0
2019-12-21,474.0
2019-12-22,474.0
2019-12-23,474.0
2019-12-24,474.0
2019-12-25,474.0
2019-12-26,474.0
2019-12-27,474.0
2019-12-28,474.0
2019-12-29,474.0
2019-12-30,474.0
2019-12-31,474.0
2020-01-01,474.0
2020-01-02,474.0
2020-01-03,474.0
2020-01-04,474.0
2020-01-05,474.0
2020-01-06,474.0
2020-01-07,474.0
2020-01-08,474.0
2020-01-09,474.0
2020-01-10,474.0
2020-01-11,474.0
2020-01-12,474.0
2020-01-13,474.0
2020-01-14,474.0
2020-01-15,475.0
2020-01-16,475.0
2020-01-17,475.0
2020-01-18,475.0
2020-01-19,475.0
2020-01-20,475.0
2020-01-21,475.0
2020-01-22,475.0
2020-01-23,475.0
2020-01-24,475.0
2020-01-25,475.0
2020-01-26,475.0
2020-01-27,475.0
2020-01-28,299.0
2020-01-29,299.0
2020-01-30,299.0
2020-01-31,299.0
2020-02-01,299.0
2020-02-02,299.0
2020-02-03,299.0
2020-02-04,299.0
2020-02-05,299.0
2020-02-06,299.0
2020-02-07,299.0
2020-02-08,299.0
2020-02-09,299.0
2020-02-10,299.0
2020-02-11,477.0
2020-02-12,319.0
2020-02-13,319.0
2020-02-14,319.0
2020-02-15,319.0
2020-02-16,319.0
2020-02-17,319.0
2020-02-18,319.0
2020-02-19,319.0
2020-02-20,319.0
2020-02-21,319.0
2020-02-22,319.0
2020-02-23,319.0
2020-02-24,319.0
2020-02-25,319.0
2020-02-26,319.0
2020-02-27,319.0
2020-02-28,319.0
2020-02-29,319.0
2020-03-01,319.0
2020-03-02,319.0
2020-03-03,319.0
2020-03-04,319.0
2020-03-05,319.0
2020-03-06,319.0
2020-03-07,319.0
2020-03-08,319.0
2020-03-09,319.0
2020-03-10,319.0
2020-03-12,319.0
2020-03-13,581.0
2020-03-14,581.0
2020-03-15,581.0
2020-03-16,581.0
2020-03-17,581.0
2020-03-18,581.0
2020-03-19,581.0
2020-03-20,581.0
2020-03-21,581.0
2020-03-22,581.0
2020-03-23,581.0
2020-03-24,581.0
2020-03-25,581.0
2020-03-26,581.0
2020-03-27,581.0
2020-03-28,581.0
2020-03-29,581.0
2020-03-30,581.0
2020-03-31,581.0
