date,price
2019-09-06,999.0
2019-09-07,999.0
2019-09-08,999.0
2019-09-09,999.0
2019-09-10,999.0
2019-09-11,999.0
2019-09-12,999.0
2019-09-13,999.0
2019-09-14,999.0
2019-09-15,999.0
2019-09-16,999.0
2019-09-17,999.0
2019-09-18,999.0
2019-09-19,999.0
2019-09-20,999.0
2019-09-21,999.0
2019-09-22,999.0
2019-09-23,999.0
2019-09-24,999.0
2019-09-25,999.0
2019-09-26,999.0
2019-09-27,945.0
2019-09-28,945.0
2019-09-29,945.0
2019-09-30,899.0
2019-10-01,899.0
2019-10-02,899.0
2019-10-03,899.0
2019-10-04,899.0
2019-10-05,899.0
2019-10-06,999.0
2019-10-07,999.0
2019-10-08,999.0
2019-10-09,999.0
2019-10-10,999.0
2019-10-11,999.0
2019-10-12,999.0
2019-10-13,999.0
2019-10-14,999.0
2019-10-15,999.0
2019-10-16,999.0
2019-10-17,999.0
2019-10-18,999.0
2019-10-19,999.0
2019-10-20,999.0
2019-10-21,999.0
2019-10-22,969.0
2019-10-23,969.0
2019-10-24,899.0
2019-10-25,969.0
2019-10-26,969.0
2019-10-27,899.0
2019-10-28,899.0
2019-10-29,899.0
2019-10-30,899.0
2019-10-31,899.0
2019-11-01,906.0
2019-11-02,906.0
2019-11-03,906.0
2019-11-04,899.0
2019-11-05,906.0
2019-11-06,906.0
2019-11-07,906.0
2019-11-08,906.0
2019-11-09,906.0
2019-11-10,906.0
2019-11-11,906.0
2019-11-12,969.0
2019-11-13,969.0
2019-11-14,906.0
2019-11-15,976.0
2019-11-16,976.0
2019-11-17,976.0
2019-11-18,976.0
2019-11-19,976.0
2019-11-20,990.0
2019-11-21,997.0
2019-11-22,997.0
2019-11-23,997.0
2019-11-25,986.0
2019-11-26,986.0
2019-11-27,986.0
2019-11-28,986.0
2019-11-29,986.0
2019-11-30,986.0
2019-12-01,986.0
2019-12-02,986.0
2019-12-03,899.0
2019-12-04,899.0
2019-12-05,899.0
2019-12-06,899.0
2019-12-07,899.0
2019-12-08,899.0
2019-12-09,899.0
2019-12-10,899.0
2019-12-11,899.0
2019-12-12,899.0
2019-12-13,899.0
2019-12-14,899.0
2019-12-15,906.0
2019-12-16,906.0
2019-12-17,906.0
2019-12-18,906.0
2019-12-19,906.0
2019-12-20,906.0
2019-12-21,906.0
2019-12-22,906.0
2019-12-23,906.0
2019-12-24,906.0
2019-12-25,906.0
2019-12-26,906.0
2019-12-27,906.0
2019-12-28,906.0
2019-12-29,906.0
2019-12-30,906.0
2019-12-31,906.0
2020-01-01,906.0
2020-01-02,906.0
2020-01-03,906.0
2020-01-04,906.0
2020-01-05,906.0
2020-01-06,906.0
2020-01-07,906.0
2020-01-08,906.0
2020-01-09,906.0
2020-01-10,906.0
2020-01-11,906.0
2020-01-12,906.0
2020-01-13,906.0
2020-01-14,906.0
2020-01-15,906.0
2020-01-16,906.0
2020-01-17,906.0
2020-01-18,914.0
2020-01-19,906.0
2020-01-20,906.0
2020-01-21,906.0
2020-01-22,906.0
2020-01-23,906.0
2020-01-24,906.0
2020-01-25,906.0
2020-01-26,906.0
2020-01-27,906.0
2020-01-28,906.0
2020-01-29,906.0
2020-01-30,906.0
2020-01-31,906.0
2020-02-01,906.0
2020-02-02,906.0
2020-02-03,906.0
2020-02-04,906.0
2020-02-05,906.0
2020-02-06,906.0
2020-02-07,906.0
2020-02-08,906.0
2020-02-09,906.0
2020-02-10,906.0
2020-02-11,906.0
2020-02-12,906.0
2020-02-13,906.0
2020-02-14,906.0
2020-02-15,906.0
2020-02-16,906.0
2020-02-17,979.0
2020-02-18,906.0
2020-02-19,906.0
2020-02-21,906.0
2020-02-22,906.0
2020-02-23,906.0
2020-02-24,906.0
2020-02-25,941.0
2020-02-26,979.0
2020-02-27,955.0
2020-02-28,955.0
2020-02-29,956.0
2020-03-01,957.0
2020-03-02,958.0
2020-03-03,958.0
2020-03-04,975.0
2020-03-05,975.0
2020-03-06,964.0
2020-03-07,964.0
2020-03-08,964.0
2020-03-09,964.0
2020-03-10,964.0
2020-03-12,999.0
2020-03-13,999.0
2020-03-14,999.0
2020-03-15,998.0
2020-03-16,998.0
2020-03-17,1008.0
2020-03-18,809.0
2020-03-19,809.0
2020-03-20,1008.0
2020-03-21,1009.0
2020-03-22,1009.0
2020-03-23,1009.0
2020-03-24,908.0
2020-03-25,908.0
2020-03-26,904.0
2020-03-27,904.0
2020-03-28,904.0
2020-03-29,807.0
2020-03-30,807.0
2020-03-31,807.0
2020-04-01,904.0
2020-04-02,884.0
2020-04-03,904.0
2020-04-04,904.0
2020-04-05,904.0
2020-04-06,904.0
2020-04-07,904.0
2020-04-08,904.0
2020-04-09,904.0
2020-04-10,904.0
2020-04-11,904.0
2020-04-12,904.0
2020-04-13,904.0
2020-04-14,904.0
2020-04-15,904.0
2020-04-16,899.0
2020-04-17,899.0
2020-04-18,899.0
2020-04-19,899.0
2020-04-20,899.0
2020-04-21,899.0
2020-04-22,899.0
2020-04-23,899.0
2020-04-24,899.0
2020-04-25,899.0
2020-04-26,899.0
2020-04-27,899.0
2020-04-28,899.0
2020-04-29,899.0
2020-04-30,899.0
2020-05-01,899.0
2020-05-02,899.0
2020-05-03,899.0
2020-05-04,899.0
2020-05-05,899.0
2020-05-06,899.0
2020-05-08,899.0
2020-05-09,899.0
2020-05-10,899.0
2020-05-11,899.0
2020-05-12,899.0
2020-05-13,899.0
2020-05-14,899.0
2020-05-15,899.0
2020-05-16,899.0
2020-05-17,899.0
2020-05-18,899.0
2020-05-19,899.0
2020-05-20,899.0
2020-05-21,899.0
2020-05-22,899.0
2020-05-23,899.0
2020-05-24,899.0
2020-05-25,899.0
2020-05-26,899.0
2020-05-27,899.0
2020-05-28,899.0
2020-05-29,849.0
2020-05-30,849.0
2020-05-31,849.0
2020-06-01,849.0
2020-06-02,849.0
2020-06-03,849.0
2020-06-04,849.0
2020-06-05,849.0
2020-06-06,849.0
2020-06-07,849.0
2020-06-08,849.0
2020-06-09,849.0
2020-06-10,849.0
2020-06-11,849.0
2020-06-12,849.0
2020-06-13,849.0
2020-06-14,849.0
2020-06-15,849.0
2020-06-16,849.0
2020-06-17,849.0
2020-06-18,849.0
2020-06-19,849.0
2020-06-20,849.0
2020-06-21,849.0
2020-06-22,849.0
2020-06-23,899.0
2020-06-24,899.0
2020-06-25,899.0
2020-06-26,849.0
2020-06-27,849.0
2020-06-28,849.0
2020-06-29,849.0
2020-06-30,849.0
2020-07-01,899.0
2020-07-02,849.0
2020-07-03,849.0
2020-07-04,849.0
2020-07-05,849.0
2020-07-06,849.0
2020-07-07,849.0
2020-07-08,849.0
2020-07-09,849.0
2020-07-10,849.0
2020-07-11,849.0
2020-07-12,849.0
2020-07-13,849.0
2020-07-14,849.0
2020-07-15,849.0
2020-07-16,807.0
2020-07-17,807.0
2020-07-18,807.0
2020-07-19,807.0
2020-07-20,807.0
2020-07-21,807.0
2020-07-22,849.0
2020-07-23,849.0
2020-07-24,849.0
2020-07-25,849.0
2020-07-26,759.0
2020-07-27,759.0
2020-07-28,759.0
2020-07-29,759.0
2020-07-30,759.0
2020-07-31,759.0
2020-08-01,759.0
2020-08-02,759.0
2020-08-03,756.0
2020-08-04,756.0
2020-08-05,756.0
2020-08-06,756.0
2020-08-07,756.0
2020-08-08,756.0
2020-08-09,756.0
2020-08-10,756.0
2020-08-11,849.0
2020-08-12,849.0
2020-08-13,849.0
2020-08-14,849.0
2020-08-16,849.0
2020-08-17,849.0
2020-08-18,849.0
2020-08-19,849.0
2020-08-20,849.0
2020-08-21,849.0
2020-08-22,849.0
2020-08-23,849.0
2020-08-24,849.0
2020-08-25,849.0
2020-08-26,849.0
2020-08-27,849.0
