date,price
2019-10-02,258.0
2019-10-03,258.0
2019-10-04,258.0
2019-10-05,258.0
2019-10-06,255.0
2019-10-07,258.0
2019-10-08,255.0
2019-10-09,252.0
2019-10-10,247.0
2019-10-11,247.0
2019-10-12,247.0
2019-10-13,247.0
2019-10-14,252.0
2019-10-15,247.0
2019-10-16,252.0
2019-10-17,246.0
2019-10-18,246.0
2019-10-19,246.0
2019-10-20,246.0
2019-10-21,246.0
2019-10-22,253.0
2019-10-23,253.0
2019-10-24,248.0
2019-10-25,253.0
2019-10-26,253.0
2019-10-27,248.0
2019-10-28,248.0
2019-10-29,248.0
2019-10-30,248.0
2019-10-31,246.0
2019-11-01,242.0
2019-11-02,242.0
2019-11-03,242.0
2019-11-04,246.0
2019-11-05,247.0
2019-11-06,247.0
2019-11-07,247.0
2019-11-08,244.0
2019-11-09,247.0
2019-11-10,247.0
2019-11-11,244.0
2019-11-12,249.0
2019-11-13,249.0
2019-11-14,244.0
2019-11-15,252.0
2019-11-16,252.0
2019-11-17,250.0
2019-11-18,252.0
2019-11-19,252.0
2019-11-20,250.0
2019-11-21,250.0
2019-11-22,250.0
2019-11-23,250.0
2019-11-25,250.0
2019-11-26,250.0
2019-11-27,251.0
2019-11-28,251.0
2019-11-29,251.0
2019-11-30,251.0
2019-12-01,251.0
2019-12-02,251.0
2019-12-03,246.0
2019-12-04,246.0
