date,price
2019-09-06,639.0
2019-09-07,639.0
2019-09-08,639.0
2019-09-09,696.0
2019-09-10,696.0
2019-09-11,696.0
2019-09-12,696.0
2019-09-13,696.0
2019-09-14,683.0
2019-09-15,683.0
2019-09-16,683.0
2019-09-17,696.0
2019-09-18,682.0
2019-09-19,682.0
2019-09-20,669.0
2019-09-21,669.0
2019-09-22,669.0
2019-09-23,669.0
2019-09-24,669.0
2019-09-25,692.0
2019-09-26,692.0
2019-09-27,689.0
2019-09-28,689.0
2019-09-29,689.0
2019-09-30,690.0
2019-10-01,690.0
2019-10-02,689.0
2019-10-03,689.0
2019-10-04,689.0
2019-10-05,689.0
2019-10-06,689.0
2019-10-07,682.0
2019-10-08,689.0
2019-10-09,682.0
2019-10-10,682.0
2019-10-11,682.0
2019-10-12,682.0
2019-10-13,682.0
2019-10-14,682.0
2019-10-15,682.0
2019-10-16,682.0
2019-10-17,682.0
2019-10-18,682.0
2019-10-19,682.0
2019-10-20,682.0
2019-10-21,682.0
2019-10-22,682.0
2019-10-23,682.0
2019-10-24,682.0
2019-10-25,682.0
2019-10-26,682.0
2019-10-27,682.0
2019-10-28,682.0
2019-10-29,682.0
2019-10-30,682.0
2019-10-31,746.0
2019-11-01,746.0
2019-11-02,746.0
2019-11-03,746.0
2019-11-04,746.0
2019-11-05,746.0
2019-11-06,746.0
2019-11-07,746.0
2019-11-08,746.0
2019-11-09,746.0
2019-11-10,746.0
2019-11-11,746.0
2019-11-12,746.0
2019-11-13,746.0
2019-11-14,746.0
2019-11-15,746.0
